id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Total doc. freq.>	score<Average pubyear>	score<Predicted clusters count>
1,3-propanediol	0.2952	-0.6973	3	119	740	164	2014.58536585366	5
2,3-butanediol	0.1832	-0.3298	3	131	710	159	2015	4
2-keto-l-gulonic acid	0.0817	-0.3102	3	19	48	21	2013.52380952381	1
2-phenylethanol	-0.4071	-0.3963	7	32	148	37	2015.02702702703	0
3-hydroxypropionic acid	-0.089	-0.8366	3	43	242	61	2014.91803278689	1
5-aminolevulinic acid	-0.3042	-0.5145	3	17	54	20	2015.55	1
5-hydroxymethylfurfural	0.3815	-0.097	4	38	100	20	2016.3	4
abe	0.9154	-0.2677	7	26	106	23	2013.47826086957	3
abe fermentation	1.0421	0.0068	7	111	600	135	2015.5037037037	3
acetate	0.4152	-0.5534	5	116	398	83	2015.59036144578	10
acetic acid	0.7213	-0.1099	5	138	498	109	2015.73394495413	13
acetic acid bacteria	0.0731	-0.1461	6	24	60	22	2014.63636363636	1
acetoin	-0.0252	-0.233	3	64	280	75	2015.32	3
acetone	0.7615	-0.0966	7	33	92	20	2014.3	4
acetone-butanol-ethanol fermentation	0.9732	-0.0749	7	46	158	40	2015.3	2
acetyl-coa	0.1686	-0.6713	6	35	116	31	2015.90322580645	4
acid hydrolysis	0.8371	0.1454	4	100	390	81	2015.17283950617	6
acid pretreatment	1.3115	0.2769	4	49	134	30	2015.03333333333	4
acidogenic fermentation	0.9658	-0.4899	5	38	106	23	2015.52173913043	5
actinobacillus succinogenes	0.6578	-0.4413	7	59	312	62	2015.41935483871	1
activity	-0.8264	0.3834	1	30	82	21	2014.09523809524	2
acylation	-1.3268	0.0402	2	33	126	34	2015	0
adaptation	0.6019	0.2486	4	45	136	29	2015.06896551724	3
adaptive evolution	0.3665	-0.2272	6	59	184	41	2015.19512195122	5
adaptive laboratory evolution	0.5263	-0.4102	3	35	82	22	2017	5
adsorption	0.4813	0.2426	7	119	426	91	2014.89010989011	9
aeration	0.0269	0.1992	3	86	258	52	2014.51923076923	6
afex	1.0644	0.6007	4	29	96	20	2013.9	3
agitation	0.1903	0.3631	3	45	134	26	2014.53846153846	6
agricultural residues	0.5083	0.649	1	48	118	23	2014.82608695652	2
agro-industrial residues	-0.3152	0.8198	1	47	128	26	2014.61538461538	3
agrobacterium rhizogenes	-0.7255	0.2109	1	14	38	27	2013.66666666667	0
alcohol dehydrogenase	-0.6325	-0.3178	2	78	314	87	2014.88505747126	5
alcoholic fermentation	0.643	0.132	6	44	160	39	2014.53846153846	2
alcohols	-1.4188	-0.3047	2	39	174	35	2015.08571428571	4
algae	0.8988	-0.5494	5	61	214	49	2015.85714285714	8
alginate	-0.2777	0.0609	3	55	186	56	2014.17857142857	11
alkali pretreatment	0.7625	1.1171	4	35	108	21	2014	2
alkaline pretreatment	0.8582	0.972	4	58	196	43	2015.76744186047	4
alkaline protease	-0.6365	0.5059	1	36	124	39	2013.30769230769	1
alpha-amylase	-0.3113	0.5132	1	98	368	97	2013.96907216495	5
amidase	-0.6859	-0.197	2	18	48	20	2014.2	0
amino acids	-0.6619	-0.2119	2	96	314	62	2015.32258064516	9
ammonia	0.6967	-0.4026	5	48	114	23	2015.5652173913	6
amylase	-0.2839	0.5971	1	85	316	73	2014.21917808219	5
anaerobic	0.7143	-0.1247	5	52	134	30	2014.53333333333	4
anaerobic co-digestion	1.441	-0.3159	5	27	74	24	2016.79166666667	3
anaerobic digestion	1.189	-0.2647	5	173	1266	338	2016.5	12
anaerobic fermentation	0.8253	-0.3795	5	112	438	102	2015.05882352941	7
antibacterial	-0.9464	0.3379	1	20	72	23	2015.21739130435	2
antibacterial activity	-0.9113	0.323	1	52	170	67	2014.67164179104	3
antibiotic	-0.5181	-0.0151	1	31	70	28	2015	3
antibiotics	-0.7631	-0.0584	1	32	114	35	2015.17142857143	3
antifungal activity	-0.7737	0.4804	1	33	78	25	2014.36	1
antimicrobial	-0.8055	-0.0573	1	24	64	23	2014.5652173913	2
antimicrobial activity	-0.8244	0.3313	1	54	228	74	2014.7972972973	3
antimicrobial peptide	-1.0058	0.1811	1	15	62	27	2014.40740740741	0
antioxidant	-0.7344	0.1441	1	62	160	53	2014.45283018868	8
antioxidant activity	-0.6781	0.1654	1	54	126	49	2015.0612244898	8
aqueous two-phase system	-0.4798	0.1488	1	33	96	26	2014.42307692308	1
arabinose	0.6732	0.5129	4	42	142	23	2014.30434782609	3
arachidonic acid	-0.1642	-0.5897	6	44	162	45	2014.2	2
archaea	0.3278	-0.4744	5	30	72	20	2015.1	5
artemisinin	-0.8579	-0.2449	2	17	40	20	2013.95	0
artificial neural network	-0.0939	0.3119	1	52	222	50	2014.66	5
aspergillus	-0.433	0.4894	1	67	198	45	2013.33333333333	3
aspergillus flavus	-0.3987	0.8391	1	28	64	21	2013.90476190476	3
aspergillus fumigatus	-0.0866	0.9051	1	43	114	31	2015.29032258065	4
aspergillus nidulans	-0.182	0.4036	1	29	66	24	2015.54166666667	1
aspergillus niger	-0.3382	0.5243	1	176	982	258	2014.38372093023	9
aspergillus oryzae	-0.4673	0.3885	1	115	400	109	2014.23853211009	8
aspergillus terreus	-0.2469	0.2413	1	84	366	93	2014.48387096774	3
astaxanthin	-0.0614	-0.7796	6	77	320	99	2015.48484848485	2
asymmetric catalysis	-1.6294	-0.274	2	23	126	32	2015.875	0
asymmetric reduction	-0.9299	-0.1396	2	37	142	60	2014.81666666667	1
asymmetric synthesis	-1.4147	-0.1911	2	48	268	72	2015.90277777778	2
atp	0.4905	-0.5028	3	27	74	24	2014.16666666667	3
aureobasidium pullulans	-0.2551	0.0532	3	67	250	73	2015.09589041096	1
autohydrolysis	1.0432	0.8685	4	46	172	34	2015.35294117647	3
bacillus	-0.2324	0.2666	1	88	288	71	2015.15492957746	8
bacillus amyloliquefaciens	-0.5096	0.1575	2	67	184	51	2014.88235294118	4
bacillus cereus	-0.5292	0.2967	1	44	128	37	2013.81081081081	4
bacillus coagulans	0.7	0.27	7	45	174	39	2015.28205128205	2
bacillus licheniformis	-0.4021	0.3316	1	90	296	87	2015.24137931035	7
bacillus megaterium	-0.3615	-0.2005	3	41	116	38	2014.10526315789	5
bacillus sp.	-0.0797	0.3658	1	41	110	33	2014.27272727273	5
bacillus subtilis	-0.3989	0.144	1	205	890	279	2015.05734767025	13
bacteria	-0.1537	0.1128	1	65	184	46	2015.58695652174	9
bacterial cellulose	-0.1213	0.2546	3	80	354	128	2015.3125	3
bagasse	0.7423	0.6649	4	44	132	28	2015.07142857143	5
baker's yeast	-0.9359	-0.1074	2	24	70	22	2015.04545454545	2
batch	0.3948	-0.3503	5	36	108	23	2014.47826086957	6
batch fermentation	0.2435	-0.1772	3	84	238	59	2014.30508474576	6
beta-carotene	-0.1706	-0.6585	6	58	206	58	2014.43103448276	2
beta-galactosidase	-0.8193	0.3434	2	78	356	94	2014.48936170213	3
beta-glucosidase	-0.0957	0.6796	1	156	844	196	2014.33673469388	4
beta-mannanase	-0.3979	0.3737	1	32	78	25	2016.04	2
beta-oxidation	-0.4257	-0.534	3	27	100	23	2014.34782608696	2
beta-xylosidase	0.1055	1.1047	4	49	164	33	2014.09090909091	1
bio-ethanol	0.6928	0.5827	4	54	154	47	2014.29787234043	7
bio-hydrogen	1.1322	-0.377	5	62	226	72	2014.72222222222	4
bio-hydrogen production	0.6283	-0.5124	5	25	62	23	2014.78260869565	2
biobutanol	1.1555	0.0458	7	88	370	77	2015.68831168831	4
biocatalysis	-1.126	-0.1634	2	270	2320	749	2015.90787716956	18
biocatalyst	-0.7079	-0.1194	2	83	222	67	2015.64179104478	12
bioconversion	-0.3216	-0.0853	2	197	854	221	2014.77828054299	17
biodegradation	-0.271	0.419	1	87	238	74	2015.01351351351	6
biodiesel	0.2876	-0.645	6	200	1322	318	2014.63836477987	10
bioenergy	0.857	-0.2446	5	85	326	69	2015.8115942029	6
bioethanol	0.7819	0.4843	4	353	3964	916	2015.06877729258	19
bioethanol production	0.7076	0.5462	4	66	204	64	2015.59375	7
biofilm	0.298	-0.376	3	69	180	49	2015.10204081633	10
biofuel	0.607	-0.0846	4	265	1440	290	2014.68275862069	12
biofuels	0.4816	-0.1385	7	201	946	204	2014.9068627451	8
biogas	1.2955	-0.1976	5	123	672	167	2016.22754491018	8
biogas production	1.3593	-0.0228	5	26	80	31	2016.74193548387	4
biohydrogen	0.9485	-0.4353	5	235	2046	536	2015.20708955224	7
biohydrogen production	0.8984	-0.4381	5	87	342	121	2015	3
biological hydrogen production	0.7915	-0.726	5	24	64	23	2012.95652173913	1
biomass	0.4004	0.0679	4	305	1770	366	2014.76229508197	19
biomass conversion	0.1815	0.033	2	42	108	28	2015.10714285714	5
biomass pretreatment	0.8026	0.9013	4	37	96	22	2016	2
biomaterials	-0.7564	-0.0334	1	24	64	20	2015.4	3
biomethane	1.5847	-0.2741	5	55	232	50	2016.76	6
biopolymer	-0.1664	-0.1885	3	83	270	63	2014.85714285714	5
biopolymers	-0.2383	-0.2445	3	45	132	36	2013.94444444444	4
bioprocess	-0.0273	-0.1131	7	77	194	42	2015.85714285714	8
bioprocess design	0.4307	-0.039	7	70	260	48	2014.89583333333	3
bioprocessing	-0.0147	0.1202	1	52	134	24	2015.91666666667	4
bioreactor	-0.2506	0.0387	1	211	736	185	2014.46486486486	14
bioreactors	0.1431	0.0947	7	83	300	55	2014.25454545455	8
bioreduction	-0.9904	-0.0797	2	44	138	51	2014.52941176471	4
biorefinery	0.5973	0.1631	4	236	1308	268	2015.92537313433	22
bioremediation	0.167	0.0525	5	36	80	24	2015.58333333333	5
biosurfactant	-0.4662	0.0997	1	50	158	51	2014.60784313726	5
biosurfactants	-0.276	0.1632	1	26	66	25	2013.92	1
biosynthesis	-0.6897	-0.0357	1	216	1086	341	2014.77126099707	16
biotechnology	-0.2557	-0.3411	3	73	238	58	2015.29310344828	13
biotransformation	-0.7584	-0.0435	2	247	1212	542	2014.39298892989	20
biotransformations	-1.3222	-0.2385	2	68	350	81	2015.32098765432	6
biphasic system	-1.1094	-0.1356	2	24	72	27	2014.48148148148	2
blakeslea trispora	-0.3105	-0.6804	6	15	64	20	2013.9	1
box-behnken design	-0.0555	0.3954	1	80	254	54	2014.62962962963	8
butanol	0.9905	-0.1641	7	170	1216	259	2015.12741312741	8
butanol production	0.998	0.0252	7	32	84	24	2015.58333333333	1
butyrate	1.0245	-0.4937	5	49	168	39	2014.41025641026	5
butyric acid	1.1333	-0.0077	4	71	320	73	2015.46575342466	6
cadaverine	-0.5031	-0.4049	3	29	88	28	2015.96428571429	0
caffeic acid	-0.8699	-0.2743	2	22	54	20	2015.9	4
calb	-1.0103	0.0423	2	27	74	24	2015.33333333333	0
calcium alginate	-0.6841	0.2282	2	33	98	20	2013.5	2
candida antarctica lipase b	-1.0516	0.0743	2	50	152	59	2015.30508474576	2
candida rugosa lipase	-1.2729	0.0412	2	27	118	36	2013.94444444444	0
candida tropicalis	0.2533	0.6876	4	44	172	39	2014.05128205128	3
cane molasses	-0.0841	-0.2422	6	46	108	26	2013.92307692308	5
carbohydrate	0.5008	-0.613	5	37	122	27	2015.85185185185	8
carbohydrates	-0.5659	-0.2943	2	66	226	51	2014.96078431373	6
carbon catabolite repression	0.8488	-0.4521	3	40	112	24	2015.33333333333	3
carbon dioxide	0.4532	-0.5192	5	88	264	61	2015.18032786885	8
carbon monoxide	0.7899	-0.4545	5	24	72	21	2015.42857142857	2
carbon source	-0.0121	-0.1181	3	72	200	57	2014.70175438597	6
carbon sources	0.3768	-0.1662	5	27	54	21	2015.04761904762	5
carbonic anhydrase	-0.2292	-0.3795	3	17	48	21	2014.90476190476	4
carbonyl reductase	-0.9417	-0.1418	2	30	124	46	2016.0652173913	0
carboxylic acids	-0.4621	-0.4785	2	35	116	27	2016.33333333333	5
carotenoid	-0.1885	-0.8558	6	33	106	35	2014.65714285714	4
carotenoids	-0.0574	-0.6811	6	72	288	79	2015.10126582278	5
cascade reaction	-1.0226	-0.1505	2	41	124	36	2017.13888888889	3
cascade reactions	-1.3211	-0.2953	2	30	116	31	2016.87096774194	3
cassava	0.8727	-0.0089	7	39	132	26	2013.80769230769	2
cassava starch	0.588	-0.0328	7	34	80	20	2013.85	6
catabolite repression	0.3934	0.5397	3	32	92	20	2014.85	3
catalase	-0.2525	0.1407	6	38	108	30	2014.3	3
cell culture	-0.628	0.1594	1	23	56	28	2014.07142857143	3
cell disruption	0.0623	-0.5407	3	23	76	22	2014.90909090909	4
cell immobilization	0.3432	-0.0171	7	81	232	57	2015.21052631579	4
cell surface display	-0.2284	0.1704	6	40	134	24	2015.375	2
cellobiohydrolase	0.2021	1.2358	1	43	142	21	2014.09523809524	1
cellobiose	0.4446	0.2595	6	73	268	58	2014.13793103448	4
cellulase	0.2662	0.7893	1	289	2646	527	2014.44022770399	9
cellulase production	-0.2545	0.8368	1	28	68	20	2015.65	1
cellulases	0.0576	0.7987	1	111	586	118	2014.70338983051	3
cellulose	0.5498	0.448	4	211	1168	213	2014.40375586854	12
cellulosic ethanol	0.936	0.7254	4	101	522	118	2014.60169491525	4
central composite design	-0.3516	0.5416	1	130	510	116	2014.53448275862	10
characterization	-0.4797	0.4623	1	144	582	132	2015.01515151515	9
cheese whey	0.5857	-0.3168	5	63	188	41	2014.9756097561	5
chemoenzymatic synthesis	-1.3456	-0.1535	2	35	96	34	2016.08823529412	3
chemostat	0.4767	-0.4976	5	56	166	38	2013.97368421053	7
chiral amines	-1.3934	-0.2255	2	27	118	28	2015.32142857143	1
chitin	-0.5095	0.4897	1	63	242	74	2015.86486486486	3
chitinase	-0.5638	0.5895	1	56	206	60	2014.26666666667	1
chitosan	-0.6145	0.2805	1	97	348	90	2014.9	7
chitosanase	-0.6191	0.4905	1	43	142	39	2014.61538461538	1
chlamydomonas reinhardtii	0.4917	-0.7565	5	46	190	59	2013.76271186441	3
chlorella	0.3716	-0.7706	5	39	136	33	2014.75757575758	2
chlorella vulgaris	0.5491	-0.8016	5	61	228	50	2015.02	5
cho cells	-0.3658	-0.1574	1	19	46	22	2014.27272727273	1
citric acid	0.1813	-0.1862	6	83	382	86	2014.67441860465	5
clavulanic acid	-0.1607	0.0201	1	28	68	23	2014.30434782609	0
clostridium	0.8989	-0.2235	5	105	462	93	2015.44086021505	3
clostridium acetobutylicum	1.0227	-0.1269	7	119	620	149	2014.63758389262	4
clostridium beijerinckii	1.114	0.0505	7	83	304	62	2014.95161290323	2
clostridium butyricum	0.723	-0.7562	5	53	228	44	2014.40909090909	2
clostridium thermocellum	0.7099	0.4501	4	52	196	51	2014.88235294118	3
clostridium tyrobutyricum	1.0896	-0.0504	4	53	256	55	2015.25454545455	2
co-culture	0.4158	-0.1388	3	128	446	101	2015.09900990099	7
co-digestion	1.4504	-0.4862	5	42	184	43	2015.95348837209	3
co-expression	-0.8916	0.019	1	40	106	36	2015.30555555556	5
co-fermentation	0.94	-0.1732	5	93	352	69	2015.52173913043	6
co-production	-0.0754	-0.2885	3	37	94	23	2015.60869565217	8
co2	0.0053	-0.5572	3	33	74	24	2015.20833333333	5
co2 fixation	0.5237	-0.8073	5	38	106	24	2015.29166666667	5
coculture	0.5859	-0.0639	3	37	98	21	2016.38095238095	3
codon optimization	-0.7267	0.0709	2	47	138	42	2013.97619047619	3
cofactor engineering	-0.0777	-0.5771	3	27	86	21	2014.85714285714	1
cofactor regeneration	-0.5985	-0.4664	2	62	190	59	2014.76271186441	5
coli	-0.8786	-0.4794	2	28	94	23	2015.34782608696	4
consolidated bioprocessing	0.5561	0.697	4	106	534	105	2015.08571428571	3
continuous culture	0.1639	-0.5315	5	53	160	39	2013.46153846154	7
continuous fermentation	0.613	0.0201	7	91	276	65	2014.43076923077	6
corn steep liquor	0.3524	0.1654	1	46	112	31	2013.8064516129	4
corn stover	1.023	0.4571	4	147	690	149	2014.93288590604	9
corncob	0.636	0.8537	4	65	250	47	2014.59574468085	4
corynebacterium glutamicum	-0.2671	-0.3109	3	134	594	211	2015.20853080569	6
cross-linked enzyme aggregates	-0.9094	0.1357	2	33	96	26	2015.07692307692	2
crude glycerol	0.3212	-0.5396	3	131	596	131	2015.24427480916	5
crystallinity	0.1689	0.681	4	35	116	26	2014.61538461538	4
crystallization	0.6085	0.1747	7	30	82	25	2015.04	3
cstr	1.0611	-0.3537	5	35	90	21	2014.76190476191	5
culture conditions	-0.0779	-0.0825	1	34	74	21	2014.28571428571	4
cupriavidus necator	0.0177	-0.3564	3	66	236	60	2015.03333333333	2
curdlan	-0.282	-0.0623	3	21	58	26	2014.88461538462	0
cutinase	-0.9421	0.3424	2	31	80	24	2013.58333333333	1
cyanobacteria	0.1025	-0.6312	5	107	492	139	2015.86330935252	8
cyclodextrin	-0.6757	0.1246	1	30	78	24	2014.58333333333	1
cytochrome p450	-0.9769	-0.2365	2	48	170	60	2014.96666666667	4
cytotoxicity	-1.0072	0.2912	1	34	104	34	2015.17647058824	4
d-lactic acid	0.1274	0.0971	3	52	162	43	2015.60465116279	2
d-tagatose	-0.3859	-0.0771	3	18	50	20	2015.15	1
d-xylose	0.3708	-0.2113	4	39	128	32	2014.5625	3
dark fermentation	1.0678	-0.4645	5	169	1230	290	2015.74482758621	6
decolorization	0.1945	0.8124	1	24	72	20	2014.15	1
deep eutectic solvents	-1.164	0.0215	2	33	102	25	2017.2	2
degradation	0.6418	0.1389	4	35	74	21	2015.42857142857	6
delignification	1.039	0.7834	4	69	312	62	2014.70967741936	4
deracemization	-1.5572	-0.194	2	27	106	26	2015.57692307692	0
design of experiments	-0.786	0.284	2	40	98	31	2014.38709677419	5
detoxification	1.0155	0.2986	4	108	464	103	2015.18446601942	6
dextran	-0.656	0.0261	2	30	98	34	2014.08823529412	0
dextransucrase	-0.6713	0.0133	2	20	68	23	2015.17391304348	1
dha	0.019	-0.7481	6	30	84	23	2015.5652173913	2
dihydroxyacetone	-0.26	-0.7948	3	29	114	22	2015.27272727273	0
dilute acid	1.1781	1.0397	4	32	110	21	2014.2380952381	1
dilute acid pretreatment	1.1123	0.8154	4	55	204	45	2014.73333333333	2
directed evolution	-0.9945	-0.2158	2	87	312	81	2015.56790123457	3
dissolved oxygen	-0.0992	-0.1992	3	66	176	46	2014.41304347826	7
docosahexaenoic acid	-0.112	-0.7495	6	36	136	50	2015.16	2
downstream processing	-0.0863	-0.1428	7	78	220	55	2015.14545454545	2
dynamic kinetic resolution	-1.2905	-0.1272	2	25	92	34	2015.38235294118	1
e	-0.883	-0.4966	2	25	90	23	2015.17391304348	4
e. coli	-0.2841	-0.2266	3	147	530	174	2014.48275862069	10
ectoine	-0.2848	-0.438	3	23	58	20	2016.2	1
eicosapentaenoic acid	-0.0318	-0.7988	6	19	78	27	2014.59259259259	2
electrodialysis	1.0503	-0.0111	7	48	162	31	2015.1935483871	5
elicitation	-0.6165	0.2177	1	31	96	45	2015.08888888889	1
elicitors	-0.6473	0.1858	1	17	44	21	2013.61904761905	0
enantioselective hydrolysis	-1.136	-0.0196	2	21	84	26	2013.19230769231	0
enantioselectivity	-1.2939	-0.0643	2	84	486	117	2014.4358974359	2
endoglucanase	-0.1376	1.0067	1	80	312	67	2014.98507462687	2
