id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Total Docs>	weight<Total Collab Docs>
대만	-1.0592	-0.2594	2	3	0.5176	672	125
덴마크	0.3127	-0.0434	1	6	0.8337	316	169
독일	0.6917	-0.0599	1	9	2.0494	1112	596
러시아	0.9186	-0.1452	1	5	0.942	322	144
멕시코	1.1336	-0.2179	1	2	0.4555	208	82
미국	-0.066	0.0558	4	16	3.2546	2676	1170
브라질	1.0191	0.1784	1	3	0.4194	196	80
사우디	-1.2029	-0.1699	2	3	0.5038	206	187
스페인	1.0257	-0.1561	1	7	1.2607	575	273
영국	0.1806	-0.1011	3	8	1.3946	820	521
이란	-0.2673	0.122	3	5	0.7802	793	285
이탈리아	0.929	0.0633	1	7	1.2534	582	267
인도	-1.0266	-0.129	2	7	1.1944	873	214
일본	-0.8498	0.0303	2	6	1.04	726	254
중국	-0.4586	-0.0885	3	13	3.6184	5457	1604
캐나다	-0.3627	0.3682	4	8	1.5768	1028	494
터키	-0.4106	0.5699	4	2	0.3882	454	123
프랑스	0.8055	0.0782	1	9	1.6463	939	447
한국	-0.8511	-0.1114	2	6	1.2729	1679	339
호주	-0.4616	0.0159	3	5	0.9475	367	250
