id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Total Docs>	weight<Total Collab Docs>
네덜란드	0.9566	0.0269	1	5	1.0002	144	86
대만	-0.9239	-0.519	3	3	0.5393	92	36
덴마크	0.1981	0.1243	4	6	0.9378	120	65
독일	0.84	-0.0431	1	10	1.818	450	187
미국	-0.2197	-0.0678	2	13	2.6551	922	431
사우디	-0.6351	0.2487	2	6	1.0791	117	101
스웨덴	0.7282	0.018	1	6	0.9621	103	58
스위스	0.995	-0.1633	1	5	0.8105	108	66
스페인	0.8228	0.0613	1	7	1.1198	265	117
영국	0.3165	-0.0894	1	12	1.8218	262	152
이란	-0.4941	0.4002	4	6	0.9918	159	62
이탈리아	0.999	-0.0484	1	8	1.4344	286	126
인도	-0.6365	0.0543	2	5	1.1026	260	104
일본	-0.9349	-0.4696	3	4	0.7097	251	85
중국	-0.4776	-0.2192	3	15	4.1644	1996	643
캐나다	-0.5105	0.6043	4	6	1.584	342	171
터키	-0.6074	0.7083	4	3	0.9095	186	66
프랑스	1.0023	-0.0964	1	6	1.1532	235	127
한국	-0.7681	-0.0348	2	6	1.3048	438	139
호주	-0.6507	-0.4954	3	4	1.0835	202	136
