id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Total Docs>	weight<Total Collab Docs>
네덜란드	-0.5222	0.2846	3	5	0.8118	137	100
대만	1.0591	0.1628	2	4	0.5399	355	130
독일	-0.3698	0.4023	3	15	3.1434	1603	725
러시아	-0.6928	0.9646	3	1	0.1745	606	142
미국	0.8057	0.1346	2	11	3.0784	3806	1620
스웨덴	-0.7844	-0.4331	1	6	0.9711	219	155
스위스	-0.8347	-0.3296	1	6	0.9629	184	126
스페인	-0.5106	-0.2713	1	7	1.3947	379	256
싱가포르	0.3242	-0.4029	4	5	0.8585	255	189
영국	-0.1743	-0.3291	1	10	1.7116	519	353
오스트리아	-0.7981	0.3709	3	3	0.6803	142	104
이탈리아	-0.4034	-0.1323	1	8	1.1091	214	136
인도	1.0736	-0.0951	2	6	0.9429	756	239
일본	0.8297	-0.09	2	7	1.3248	1935	473
중국	0.4123	-0.0017	4	13	4.0006	6993	1908
캐나다	0.4076	0.4517	5	4	0.9922	489	324
폴란드	-0.5404	-0.4695	1	8	1.27	204	117
프랑스	-0.655	-0.0497	1	10	1.8937	607	362
한국	1.2373	-0.0208	2	5	1.2976	1501	481
호주	0.1362	-0.1463	4	6	1.3211	466	372
