id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Total Docs>	weight<Total Collab Docs>
대만	-0.8964	0.2185	2	4	0.741	2794	751
독일	0.8318	-0.0102	1	10	2.2148	3552	2303
말레이시아	-1.104	-0.0677	2	4	0.6861	747	440
미국	-0.1638	-0.0299	3	15	3.1853	8372	4830
사우디	-0.6336	-0.1606	2	13	2.5202	1839	1604
스웨덴	0.6681	-0.0586	1	6	1.1489	1404	1189
스위스	0.7819	0.0199	1	13	2.2551	1685	1376
스페인	1.1521	-0.0247	1	7	1.2378	1525	1117
싱가포르	-0.1872	0.264	3	5	0.7732	1122	786
영국	0.4396	0.0207	1	12	2.3545	2667	2001
이란	1.29	-0.023	1	3	0.3821	1410	420
이탈리아	1.0748	-0.038	1	9	1.4637	1675	1016
인도	-0.7354	0.1407	2	9	1.7233	4539	1720
일본	-0.8545	0.0716	2	9	1.5782	3911	1702
중국	-0.3113	-0.0047	3	13	4.2504	23882	6772
캐나다	-0.5665	-0.3919	3	3	0.543	1024	666
파키스탄	-1.0431	-0.1722	2	4	1.0207	875	703
프랑스	1.1084	0.0162	1	6	0.9139	1517	1049
한국	-0.5971	0.036	2	9	1.9067	6986	2085
호주	-0.2537	0.1937	3	8	1.3888	1784	1273
