id	x	y	cluster	weight<Links>	weight<Total link strength>
네덜란드	-0.3805	-0.1804	1	16	3.3846
노르웨이	-0.9471	-0.0357	1	11	1.95
덴마크	-0.7164	-0.0414	1	13	2.1235
독일	-0.2315	-0.0602	1	16	3.8025
미국	0.5018	-0.1279	2	18	4.8231
벨기에	-0.6887	-0.1979	1	13	2.3612
브라질	-0.024	-0.4835	4	7	1.2274
스웨덴	-0.6521	0.168	1	14	2.4919
스위스	-0.542	0.1153	1	14	2.7543
스페인	-0.5747	-0.3867	1	13	2.6269
영국	0.0316	-0.12	1	17	4.1798
이란	0.1474	1.05	3	2	0.2544
이탈리아	-0.8952	-0.2457	1	11	2.4199
인도	1.3391	-0.2242	2	5	0.76
일본	1.1007	-0.1594	2	9	1.2146
중국	0.6585	0.078	2	13	3.3455
캐나다	0.1819	0.7951	3	10	1.996
프랑스	-0.1493	0.3341	3	17	3.5347
한국	1.4035	-0.207	2	4	0.721
호주	0.437	-0.0706	2	15	2.7809
