id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Total Docs>	weight<Total Collab Docs>
네덜란드	-0.3805	-0.1804	1	16	3.3846	1731	1297
노르웨이	-0.9471	-0.0357	1	11	1.95	1410	838
덴마크	-0.7164	-0.0414	1	13	2.1235	794	613
독일	-0.2315	-0.0602	1	16	3.8025	3801	2509
미국	0.5018	-0.1279	2	18	4.8231	13278	6232
벨기에	-0.6887	-0.1979	1	13	2.3612	822	646
브라질	-0.024	-0.4835	4	7	1.2274	1297	723
스웨덴	-0.6521	0.168	1	14	2.4919	1386	984
스위스	-0.542	0.1153	1	14	2.7543	1197	945
스페인	-0.5747	-0.3867	1	13	2.6269	2632	1521
영국	0.0316	-0.12	1	17	4.1798	5209	3467
이란	0.1474	1.05	3	2	0.2544	1144	453
이탈리아	-0.8952	-0.2457	1	11	2.4199	2029	1185
인도	1.3391	-0.2242	2	5	0.76	2466	772
일본	1.1007	-0.1594	2	9	1.2146	1672	771
중국	0.6585	0.078	2	13	3.3455	16669	5844
캐나다	0.1819	0.7951	3	10	1.996	3113	1799
프랑스	-0.1493	0.3341	3	17	3.5347	2223	1583
한국	1.4035	-0.207	2	4	0.721	2333	806
호주	0.437	-0.0706	2	15	2.7809	3552	2323
