id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Total Docs>	weight<Total Collab Docs>
네덜란드	-0.8981	-0.0235	1	12	2.7598	355	225
노르웨이	-0.1653	0.2094	1	9	1.8702	484	238
대만	1.1112	0.409	2	2	0.2637	233	57
덴마크	-0.3001	-0.0211	1	13	2.7143	573	300
독일	-0.548	-0.1107	1	11	2.3328	612	252
미국	0.4918	0.0746	2	16	3.2669	1142	485
벨기에	-1.0764	-0.0856	1	7	1.4882	168	103
스페인	-1.0074	0.1444	1	10	2.1202	504	232
아일랜드	-0.5475	0.006	4	6	1.1136	160	110
영국	-0.1674	-0.0186	4	14	3.6612	1265	710
이란	0.4708	-0.3389	3	4	0.6426	206	82
이탈리아	-0.8723	0.0956	1	10	1.6722	314	168
인도	0.634	-0.2594	3	3	0.3872	220	49
일본	1.1588	0.017	2	3	0.5863	203	96
중국	0.7353	0.1461	2	13	3.5553	2211	797
캐나다	0.5785	-0.3052	3	6	1.0453	238	135
포르투갈	-1.2687	0.1353	1	5	1.013	148	81
프랑스	-0.2696	-0.1582	3	11	1.5651	214	130
한국	0.8986	-0.0507	2	7	1.0097	377	99
호주	1.042	0.1345	2	4	0.8687	216	164
