id	x	y	cluster	weight<Links>	weight<Total link strength>	label	weight<Number of Cluters>	weight<Total Docs 20-23>
1	0.2789	0.4609	2	42	0.6347	코로나바이러스 감염 메커니즘 및 환경 영향 연구와 대응 전략 개발	3	82884
2	1.3659	0.0877	2	42	1.2531	지속가능한 수처리 및 환경오염 제어	12	91339
3	1.1093	-0.212	2	42	1.208	차세대 고성능 에너지 저장 시스템	10	84344
4	0.7167	0.4487	2	42	1.1739	정밀의학 기반 질병 치료 및 건강 증진	38	242533
5	0.4848	-0.0271	3	42	0.8072	친환경 고성능 건설재료 및 지속가능한 건설	10	41329
6	-0.818	0.1633	1	42	1.4309	딥러닝 기반 지능형 컴퓨터 비전 및 하드웨어 가속	6	36466
7	1.3961	-0.1079	2	42	1.2643	지속가능한 에너지 및 환경	12	112189
8	0.9143	-0.1773	2	42	0.7924	차세대 고성능 소재 및 소자	7	54504
9	-0.9078	0.2461	1	42	0.7998	인공지능 기반 자연어 처리 및 정보 분석	5	21234
10	-0.6352	-0.2388	1	42	1.1455	지능형 자율 시스템 제어 및 최적화	8	35878
11	-0.7151	0.1873	1	42	0.9151	뇌-컴퓨터 인터페이스 및 생체신호 기반 인지·감정 분석	10	42197
12	0.5182	-0.1474	3	42	1.0057	차세대 열관리 및 에너지 변환	10	51625
13	-0.4154	-0.1126	3	42	0.9194	인공지능 기반 최적화 및 시뮬레이션	5	21705
14	1.114	-0.0478	2	42	0.9371	지속가능한 수처리 및 극한환경 대응	7	34324
15	-0.235	-0.4705	3	42	0.6518	차세대 고효율 전력전자 시스템 및 제어	7	22111
16	-0.095	0.1769	3	42	1.0468	지속가능한 도시 환경을 위한 통합적 대기질 관리 및 건강 증진	5	39727
17	-1.1228	-0.0067	1	42	1.1085	차세대 사이버보안 및 프라이버시 보호	10	35133
18	1.2937	0.0593	2	42	0.8874	지속가능한 바이오매스 및 폐기물 자원화	9	52403
19	0.1786	-0.0108	3	42	0.8391	지질공학 및 자원개발	12	50191
20	-0.9688	0.1318	1	42	0.8397	고성능 영상 처리 및 분석	8	19860
21	-0.4074	0.2488	1	42	1.0044	디지털 시대의 지속가능한 사회경제 혁신 전략	9	71506
22	-0.5266	-0.1651	3	42	0.8661	지능형 시스템 진단 및 예측 기술	5	20884
23	1.0909	0.3558	2	42	0.8721	기능성 식품 및 천연물 기반 바이오소재 개발	17	61333
24	-0.8661	0.007	1	42	1.0043	지능형 센싱 및 인식 기술	7	19734
25	1.2057	0.1508	2	42	1.0512	나노기술 기반 생체 및 환경 응용	13	65556
26	0.3655	-0.1899	2	42	0.974	첨단 소재 및 제조 기술	13	72606
27	-1.0487	-0.0634	1	42	1.2594	지능형 네트워크 및 클라우드 기반 스마트 인프라	6	27524
28	-0.1231	-0.281	3	42	1.3425	스마트 그리드 및 재생에너지 통합 최적화	8	40414
29	0.6812	-0.1702	2	42	1.2112	차세대 유연 전자소자 및 에너지 저장	8	44593
30	-0.8675	-0.1157	1	42	0.9984	지능형 교통 시스템 및 자율주행 기반 모빌리티 혁신	6	19813
31	-0.8841	-0.1956	1	42	0.9532	차세대 지능형 무선통신 네트워크	10	27239
32	-1.1611	0.1165	1	42	0.5193	차세대 디지털 미디어 보안 및 인증	4	8726
33	-0.1903	-0.1427	3	42	0.7853	AI 및 IoT 기반 실시간 구조물 건전성 모니터링 및 결함 진단	4	15116
34	-0.4881	0.1436	3	42	0.9526	기후변화 대응 및 지속가능한 농업을 위한 AI 기반 원격탐사 및 정밀농업	8	39418
35	1.1307	0.0987	2	42	1.1915	생체모방 기능성 나노소재 및 바이오메디컬 응용	11	52791
36	-0.1415	-0.0323	1	42	0.8391	지능형 로봇 시스템 및 의료 응용	9	25964
37	0.3064	-0.2402	2	42	0.5798	차세대 전자기파 제어 및 응용	6	23327
38	-0.2981	-0.4043	3	42	0.7203	지능형 차량 동역학 및 에너지 관리 시스템	3	10500
39	-0.3318	-0.0439	3	42	0.884	AI 기반 시계열 데이터 분석 및 예측	6	14794
40	-0.7584	0.1778	1	42	0.5009	실감형 데이터 시각화 및 메타버스	3	6892
41	-0.4794	0.0785	1	42	0.6796	스마트 건설 및 해양 안전	5	17207
42	-0.6354	0.2843	1	42	1.1603	AI 기반 의료 영상 분석 및 질병 진단	13	34744
43	0.9701	-0.0207	2	42	0.4425	지속가능한 자원 순환 및 재활용	3	8641
