국가명	문헌수순위	Y2020	Y2021	Y2022	Y2023	Y2024	문헌수_20_21	문헌수_23_24	문헌증가율(%)
미국	1	1553	1591	1512	1508	1754	3103	3262	105.12
영국	2	526	501	484	504	612	985	1116	113.3
독일	3	467	466	472	493	562	938	1055	112.47
중국	4	427	415	465	500	616	880	1116	126.82
캐나다	5	265	227	242	267	301	469	568	121.11
스위스	6	220	227	209	249	297	436	546	125.23
일본	7	212	188	203	190	215	391	405	103.58
프랑스	8	206	185	173	209	220	358	429	119.83
호주	9	198	175	167	170	205	342	375	109.65
네덜란드	10	166	150	165	174	188	315	362	114.92
스페인	11	125	134	151	190	179	285	369	129.47
이탈리아	12	114	120	134	137	153	254	290	114.17
스웨덴	13	110	110	121	136	150	231	286	123.81
덴마크	14	98	78	86	116	132	164	248	151.22
오스트리아	15	75	89	99	105	117	188	222	118.09
벨기에	16	90	84	79	102	92	163	194	119.02
이스라엘	17	71	94	89	90	92	183	182	99.45
한국	18	92	77	79	86	100	156	186	119.23
싱가폴	19	49	50	45	50	65	95	115	121.05
브라질	20	43	44	47	51	55	91	106	116.48
노르웨이	21	52	53	37	39	54	90	93	103.33
핀란드	22	42	40	45	40	47	85	87	102.35
러시아	23	55	47	40	37	29	87	66	75.86
남아공	24	36	43	48	44	31	91	75	82.42
인도	25	28	35	41	43	44	76	87	114.47
