id	x	y	cluster	weight<Links>	weight<Total link strength>
19th Century American Literary Themes	-0.0742	0.9847	3	2477	114.0544
Properties of Two-Dimensional Materials	-0.693	-0.4112	2	2477	680.7095
Advanced Techniques in 3D Shape Modeling	-0.9138	0.2919	4	2477	201.4928
Multidrug Resistance and Transport Proteins	0.6569	-0.4104	6	2477	700.8342
ACE Gene Polymorphisms and Hypertension	0.7917	-0.0548	1	2477	620.8271
Low-Power CMOS Analog and Mixed-Signal Design	-1.156	0.1632	4	2477	366.3821
Attention-Deficit/Hyperactivity Disorder Studies	0.5966	0.2984	8	2477	412.1508
Ethical and Explainable AI Systems	0.0095	0.3012	3	2477	809.7319
AI and Deep Learning for COVID-19 Detection	-0.2593	0.129	4	2477	721.4591
Artificial Intelligence and Multimedia in Education	-0.5915	0.2561	4	2477	714.6223
Mechanisms and Variability in ALS	0.5665	-0.0241	8	2477	628.1114
ANCA-Associated Vasculitis and Complications	1.025	0.0464	1	2477	425.9016
Management and Effects of Abdominal Pressure	1.2162	0.0625	1	2477	353.26
Formal Methods in Program Verification	-0.9687	0.3701	4	2477	218.074
Professional Growth in Higher Education	-0.0512	0.7085	3	2477	215.1887
Ethics and Misconduct in Academia	0.0802	0.4053	3	2477	592.5837
Rhetoric and Academic Writing Practices	-0.1059	0.8455	3	2477	186.7721
Trust-Based Access Control Systems	-0.9136	0.3555	4	2477	329.3873
Catalysts for Acetylene Hydrochlorination	-0.5812	-0.4718	2	2477	690.1095
Pathophysiology and Treatment of Acne and Rosacea	0.9317	-0.1263	1	2477	250.7751
Acoustic Forces in Microfluidics	-0.6196	-0.2101	2	2477	674.4979
Acoustic Wave Propagation and Metamaterials	-0.8026	-0.2057	2	2477	409.8745
Acousto-Optic Devices and Applications	-0.9797	-0.1699	2	2477	429.0232
Acrylamide Formation and Health Impacts	0.1584	-0.3376	5	2477	441.7023
Infections by Actinomyces and Nocardia Species	0.9259	-0.0526	1	2477	560.2157
Embodied Cognition and Motor Imagery	0.2034	0.2998	8	2477	472.812
Human Activity Recognition in Smart Environments	-0.7836	0.2632	4	2477	501.9
Advanced Nitrogen Removal in Wastewater	-0.1976	-0.2076	5	2477	384.5787
Acupuncture, Placebo Effects, and Pain Management	0.7415	0.1304	1	2477	634.433
Heme Biosynthesis Disorders	0.7342	-0.2051	6	2477	861.2615
Acute Kidney Injury Mechanisms and Treatments	0.9803	-0.0076	1	2477	476.8312
Vascular Disorders in Mesenteric Ischemia	1.1852	0.0416	1	2477	413.555
Diagnosis and Treatment of Myocardial Infarction	1.0685	0.11	1	2477	387.132
Quantum Gravity and Supersymmetry Theories	-0.995	-0.1087	2	2477	111.7545
Adaptive Control for Nonlinear Systems	-1.0633	0.1602	4	2477	327.2894
Advanced Statistical Methods in Clinical Trials	0.1866	0.1545	4	2477	336.6488
Advanced Adaptive Filtering Techniques	-1.046	0.1787	4	2477	431.3953
Adaptive and User-Centered Interface Design	-0.7731	0.3896	4	2477	323.7069
Personalized and Adaptive Learning Systems	-0.4165	0.5478	3	2477	358.8961
Adaptive Optics in Telescopic Systems	-0.9166	-0.1526	2	2477	218.2759
Additive Structures and Zero-Sum Problems	-1.1257	0.2914	4	2477	158.5693
Advancements in Additive Manufacturing Technologies	-0.7711	-0.3351	2	2477	452.3761
Adenosine Receptors and Purinergic Pathways	0.6273	-0.2871	6	2477	800.6619
Cell Adhesion in Inflammation and Disease	0.7078	-0.275	6	2477	765.8039
Regulation of Adipocyte Differentiation	0.5702	-0.4053	6	2477	825.9703
Cutaneous Adnexal Tumors and Pathologies	1.1275	-0.1118	1	2477	279.6803
Adrenal Insufficiency and Endocrine Disorders	0.9423	0.0037	1	2477	486.8503
Adrenal and Extra-Adrenal Tumor Research	1.0555	-0.0521	1	2477	580.6745
Adrenoceptor Pharmacology and Therapeutics	0.6121	-0.296	8	2477	564.4783
Adsorption for Water Pollutant Removal	-0.4777	-0.4142	2	2477	510.8508
Innovations in Concrete and Cement Composites	-0.8495	-0.335	2	2477	284.9162
Advanced Finite Element Techniques and Applications	-1.0499	0.1749	4	2477	218.2791
Food Drying Techniques and Quality	-0.3331	-0.3491	5	2477	257.3942
Diabetes, Glycation, and Antioxidant Therapies	0.6029	-0.3571	6	2477	802.2442
Advanced Machining Techniques and Optimization	-0.9564	-0.1866	2	2477	262.9318
Advanced MRI and Brain Analysis	0.101	0.1201	8	2477	509.1973
Advanced Oxidation for Water Treatment	-0.4517	-0.3598	5	2477	409.151
Advanced Polymerization and Copolymerization Methods	-0.5445	-0.6662	2	2477	243.806
Advanced Wireless Communication Techniques	-1.1211	0.2246	4	2477	381.2668
Affect, Subjectivity, and Posthumanism	-0.0772	0.8654	3	2477	263.3738
African American Literature and Identity	-0.079	0.9512	3	2477	197.6573
African Philosophy and Cultural Identity	-0.0405	0.8068	3	2477	318.5123
Afro-Latinx Identity and Cultural Politics	-0.0833	0.9204	3	2477	270.5164
Perceptions and Stereotypes of Aging	0.3281	0.5436	3	2477	266.0798
Innovation and Economic Geography	-0.2255	0.6961	3	2477	200.6596
Molecular Pathways in Aging and Longevity	0.3281	-0.1868	6	2477	827.9174
Role and Impact of Agricultural Cooperatives	-0.1868	0.5812	3	2477	256.4611
Health Impacts of Air Pollution Exposure	0.1669	0.0553	5	2477	541.2815
Airline Operations and Traffic Management	-0.5981	0.3725	4	2477	309.9159
Techniques and Devices for Airway Management	1.057	0.1461	1	2477	128.3664
Alcohol Consumption and Related Behaviors	0.6076	0.3749	1	2477	348.9023
Mechanisms and Treatments for Alcohol Use Disorder	0.6283	0.0768	8	2477	473.3485
Alcohol's Impact on Liver and Health	0.7769	-0.2147	6	2477	655.902
Algebraic Varieties and Singularities	-1.1454	0.2926	4	2477	149.9622
Algebraic Structures in Logic Systems	-1.0422	0.3039	4	2477	206.567
Advanced Algebraic and Homotopy Theory	-1.1372	0.2891	4	2477	151.2625
Plant-Derived Alkaloids and Bioactivities	0.3251	-0.5267	7	2477	765.4947
Allelopathic Interactions in Plant Systems	0.1238	-0.411	5	2477	448.9926
Allergy Mechanisms and Immunotherapy	0.7681	-0.1615	1	2477	309.1616
Solidification Processes in Metal Alloys	-0.9956	-0.4344	2	2477	279.3164
Phytochemistry and Therapeutic Uses of Aloe	0.4018	-0.3971	5	2477	776.4311
Alpha-1 Antitrypsin Deficiency and Therapies	0.7173	-0.2955	6	2477	846.5969
Genetics and Pathophysiology of Alport Syndrome	0.7689	-0.2942	6	2477	758.6697
Integration of Complementary and Traditional Medicine	0.7788	0.137	1	2477	611.3503
Mitochondrial Function in Plant Reproduction	0.2899	-0.4241	5	2477	556.4121
Alternative Splicing and RNA Regulation	0.4739	-0.4221	6	2477	739.3549
Microstructure and Properties of Aluminum Alloys	-0.983	-0.4717	2	2477	278.5517
Aluminum's Impact on Neurological Health	0.4589	-0.1911	8	2477	920.711
Mechanisms and Treatments for Alzheimer's Disease	0.4209	-0.1996	8	2477	783.6487
Modernism and Identity in American Literature	-0.0817	1.0042	3	2477	112.8266
Microbial Amino Acid Production and Engineering	0.3291	-0.4974	6	2477	721.0475
Inhibition and Function of Aminopeptidases	0.4792	-0.4709	6	2477	845.2944
Thermal and Mechanical Cable Analysis	-1.0564	0.0512	4	2477	474.331
Ecology and Behavior of Amphibians	0.0934	-0.1448	5	2477	340.2864
Systemic and Cardiac Amyloidosis Research	0.9325	-0.073	1	2477	756.4003
Anaerobic Digestion for Biogas Production	-0.2302	-0.2676	5	2477	409.0576
Treatment and Prognosis of Anal Cancer	1.0753	-0.1548	1	2477	479.3287
Informatics in Analytical Chemistry and Spectroscopy	-0.4913	-0.0962	4	2477	753.7452
Cultural Practices in Ancient Egypt	-0.1264	0.726	3	2477	141.6962
Cultural and Historical Studies of the Ancient Near East	-0.1212	0.7539	3	2477	151.8977
Prostate Cancer Mechanisms and Treatments	0.8916	-0.2249	1	2477	608.6226
Bioactive Compounds in Medicinal Plants	0.4177	-0.4167	7	2477	817.5601
Pharmacodynamics and Techniques in Anesthesia	0.8201	0.0774	1	2477	184.5328
Vascular Growth and Regulation	0.751	-0.269	6	2477	829.3999
Angiosarcoma and Hemangioendothelioma Studies	1.1295	-0.12	1	2477	495.9412
Anglo-Saxon and Norse Literary Studies	-0.0971	0.989	3	2477	150.908
Diagnosis and Treatment of Ankylosing Spondylitis	0.9433	-0.001	1	2477	182.5957
Annexins and Lipoxins in Inflammation Resolution	0.6121	-0.3449	6	2477	900.8119
Voltammetric Techniques for Metal Detection	-0.4001	-0.5849	7	2477	389.5806
Nanostructures in Anodic Aluminum Oxide	-0.7795	-0.4262	2	2477	608.0838
Advanced Logic and Agent Reasoning	-0.8126	0.39	4	2477	272.6545
Ecology and Behavior of Ants	0.0893	-0.1848	5	2477	331.9581
Biodiversity and Ecosystem Dynamics in Antarctica	-0.0027	-0.1594	5	2477	523.3575
Design and Optimization of Antenna Arrays	-1.1363	0.1501	4	2477	377.4402
Innovations in Antenna Design and Applications	-1.1515	0.1532	4	2477	367.4216
Knee Ligament and Meniscus Research	1.025	0.1387	1	2477	211.1521
Resistance in Livestock Gastrointestinal Nematodes	0.534	-0.2473	9	2477	243.5287
Flavonoid and Anthocyanin Pathways in Plants	0.2225	-0.4529	5	2477	467.7802
Doxorubicin-Induced Cardiotoxicity in Cancer Therapy	0.8932	-0.2334	1	2477	655.7205
Ecocriticism and Environmental Humanities	-0.0896	0.5996	3	2477	459.2422
Pharmacokinetics and Dynamics of Antibiotics	0.7122	-0.2751	9	2477	526.7374
Immunological Challenges in Organ Transplantation	1.0721	-0.0235	1	2477	398.5028
Prevention and Management of Nausea and Vomiting	0.9978	-0.0579	1	2477	430.2431
Diagnosis and Treatment of Fungal Infections	0.75	-0.2088	9	2477	532.4787
Advancements in Immunohistochemistry and Microscopy	0.5804	-0.335	6	2477	500.2338
Design and Function of Antimicrobial Peptides	0.3453	-0.4536	6	2477	883.9855
Antimicrobial Resistance in Bacterial Pathogens	0.583	-0.1539	9	2477	494.4127
Antioxidant Properties of Plant Compounds	0.3275	-0.445	5	2477	582.3275
Role of Antioxidant Enzymes in Cancer	0.5225	-0.4434	6	2477	880.7311
Antiphospholipid Syndrome and Thrombosis	0.9586	-0.0712	1	2477	518.6996
Dynamics of Market Competition and Regulation	-0.27	0.7133	3	2477	164.6863
Nucleoside Analogues in Antiviral Therapy	0.2551	-0.5899	7	2477	667.3049
Aortic Aneurysm and Dissection Treatments	1.1426	0.0369	1	2477	436.1122
Apoptosis Pathways in Cancer Therapy	0.6268	-0.3823	6	2477	828.1342
Diagnosis and Treatment of Appendicitis	1.161	0.0913	1	2477	432.4254
Leptin, Neuropeptide Y, and Ghrelin Interactions	0.5797	-0.1515	6	2477	650.6447
Optimizing Healthcare Appointment and Scheduling Systems	0.4546	0.2618	1	2477	531.7389
Low-Power and Efficient Circuit Design	-1.1261	0.1837	4	2477	390.0575
Convergence and Approximation by Operators	-1.0591	0.2653	4	2477	208.8575
Fish Diets and Growth Performance	0.2692	-0.2439	5	2477	274.5897
Aquaporins in Health and Disease	0.4557	-0.2971	6	2477	851.4587
Bacterial Pathogens in Aquatic Environments	0.4762	-0.2203	9	2477	520.3812
Separation and Purification Using Aqueous Two-Phase Systems	-0.1411	-0.5278	7	2477	506.1929
Molecular Mechanisms in Plant Development	0.2176	-0.3805	5	2477	495.7505
